메일 날짜,소스 발견 건수,신규 저장 건수,결과 반환 소스,시간 초과 소스,재수집 결과 설명
2025-04-10,0,0,,dongguk_official,검색 결과 없음; 일부 소스 시간 초과
2025-04-14,0,0,,,모든 검색 소스가 해당 과거 날짜 결과를 반환하지 않음
2025-04-15,0,0,,dongguk_official,검색 결과 없음; 일부 소스 시간 초과
2025-04-17,0,0,,,모든 검색 소스가 해당 과거 날짜 결과를 반환하지 않음
2025-04-21,0,0,,,모든 검색 소스가 해당 과거 날짜 결과를 반환하지 않음
2025-04-22,0,0,,"google_rss, naver",검색 결과 없음; 일부 소스 시간 초과
2025-04-28,0,0,,google_rss,검색 결과 없음; 일부 소스 시간 초과
2025-04-29,0,0,,,모든 검색 소스가 해당 과거 날짜 결과를 반환하지 않음
2025-05-01,0,0,,"google_rss, naver",검색 결과 없음; 일부 소스 시간 초과
2025-05-12,0,0,,,모든 검색 소스가 해당 과거 날짜 결과를 반환하지 않음
2025-05-13,0,0,,"google_rss, naver",검색 결과 없음; 일부 소스 시간 초과
2025-05-14,0,0,,"google_rss, dongguk_official",검색 결과 없음; 일부 소스 시간 초과
2025-05-15,0,0,,,모든 검색 소스가 해당 과거 날짜 결과를 반환하지 않음
2025-05-16,0,0,,google_rss,검색 결과 없음; 일부 소스 시간 초과
2025-05-19,0,0,,"google_rss, naver",검색 결과 없음; 일부 소스 시간 초과
2025-05-22,0,0,,,모든 검색 소스가 해당 과거 날짜 결과를 반환하지 않음
2025-05-23,0,0,,"google_rss, naver",검색 결과 없음; 일부 소스 시간 초과
2025-05-26,0,0,,google_rss,검색 결과 없음; 일부 소스 시간 초과
2025-05-27,0,0,,,모든 검색 소스가 해당 과거 날짜 결과를 반환하지 않음
2025-05-28,0,0,,"google_rss, dongguk_official",검색 결과 없음; 일부 소스 시간 초과
2025-05-29,0,0,,"google_rss, naver",검색 결과 없음; 일부 소스 시간 초과
2025-05-30,0,0,,dongguk_official,검색 결과 없음; 일부 소스 시간 초과
2025-07-30,0,0,,"google_rss, naver",검색 결과 없음; 일부 소스 시간 초과
