날짜,홍보처 원본 기사,서버 후보 기사,AI 선정 기사,URL 일치,제목 일치,정확 일치,동일 주제·대표 매체 차이,총 일치,AI/정책 제외,현 정책 비교 대상,원본 기준 일치 실패,서버만 선정,URL 일치율(%),정확 일치율(%),주제 포함 일치율(%),현 정책 기준 동의율(%),선택 기사 정확도(%)
2025-04-08,9,13,6,5,0,5,0,5,0,9,4,1,55.6,55.6,55.6,55.6,83.3
2025-04-10,9,9,8,8,0,8,0,8,1,8,1,0,88.9,88.9,88.9,100.0,100.0
2025-04-14,10,11,9,8,0,8,0,8,2,8,2,1,80.0,80.0,80.0,100.0,88.9
2025-04-15,8,12,8,6,0,6,0,6,2,6,2,2,75.0,75.0,75.0,100.0,75.0
2025-04-17,9,9,7,7,0,7,0,7,2,7,2,0,77.8,77.8,77.8,100.0,100.0
2025-04-21,11,11,5,5,0,5,0,5,6,5,6,0,45.5,45.5,45.5,100.0,100.0
2025-04-22,8,11,5,3,0,3,1,4,4,4,4,1,37.5,37.5,50.0,100.0,80.0
2025-04-28,9,9,8,8,0,8,0,8,1,8,1,0,88.9,88.9,88.9,100.0,100.0
2025-04-29,7,7,5,5,0,5,0,5,2,5,2,0,71.4,71.4,71.4,100.0,100.0
2025-05-01,4,4,2,2,0,2,0,2,1,3,2,0,50.0,50.0,50.0,66.7,100.0
2025-05-12,10,10,7,7,0,7,0,7,2,8,3,0,70.0,70.0,70.0,87.5,100.0
2025-05-13,9,10,6,6,0,6,0,6,3,6,3,0,66.7,66.7,66.7,100.0,100.0
2025-05-14,9,10,7,5,1,6,0,6,2,7,3,1,55.6,66.7,66.7,85.7,85.7
2025-05-15,6,7,4,3,0,3,0,3,2,4,3,1,50.0,50.0,50.0,75.0,75.0
2025-05-16,5,5,4,4,0,4,0,4,1,4,1,0,80.0,80.0,80.0,100.0,100.0
2025-05-19,8,10,5,4,0,4,0,4,4,4,4,1,50.0,50.0,50.0,100.0,80.0
2025-05-22,7,7,6,6,0,6,0,6,1,6,1,0,85.7,85.7,85.7,100.0,100.0
2025-05-23,7,9,7,6,0,6,0,6,1,6,1,1,85.7,85.7,85.7,100.0,85.7
2025-05-26,7,9,4,1,1,2,0,2,4,3,5,2,14.3,28.6,28.6,66.7,50.0
2025-05-27,8,8,6,6,0,6,0,6,1,7,2,0,75.0,75.0,75.0,85.7,100.0
2025-05-28,6,7,4,4,0,4,0,4,1,5,2,0,66.7,66.7,66.7,80.0,100.0
2025-05-29,7,7,4,4,0,4,0,4,2,5,3,0,57.1,57.1,57.1,80.0,100.0
2025-05-30,8,9,5,4,0,4,0,4,3,5,4,1,50.0,50.0,50.0,80.0,80.0
2025-07-30,5,6,4,3,0,3,0,3,2,3,2,1,60.0,60.0,60.0,100.0,75.0
2025-08-01,7,8,5,5,0,5,0,5,2,5,2,0,71.4,71.4,71.4,100.0,100.0
2025-08-13,8,8,7,7,0,7,0,7,1,7,1,0,87.5,87.5,87.5,100.0,100.0
2025-08-18,7,8,6,6,0,6,0,6,1,6,1,0,85.7,85.7,85.7,100.0,100.0
2025-08-19,7,7,4,4,0,4,0,4,3,4,3,0,57.1,57.1,57.1,100.0,100.0
2025-08-20,8,8,7,7,0,7,0,7,1,7,1,0,87.5,87.5,87.5,100.0,100.0
2025-08-26,6,6,6,6,0,6,0,6,0,6,0,0,100.0,100.0,100.0,100.0,100.0
2025-08-27,5,6,4,4,0,4,0,4,1,4,1,0,80.0,80.0,80.0,100.0,100.0
2025-08-28,8,8,5,5,0,5,0,5,3,5,3,0,62.5,62.5,62.5,100.0,100.0
2025-08-29,13,14,8,8,0,8,0,8,5,8,5,0,61.5,61.5,61.5,100.0,100.0
2025-09-09,8,9,7,6,1,7,0,7,1,7,1,0,75.0,87.5,87.5,100.0,100.0
2025-09-11,8,8,5,5,0,5,0,5,2,6,3,0,62.5,62.5,62.5,83.3,100.0
2025-10-13,6,6,5,5,0,5,0,5,1,5,1,0,83.3,83.3,83.3,100.0,100.0
2025-10-16,9,9,6,6,0,6,0,6,3,6,3,0,66.7,66.7,66.7,100.0,100.0
2025-10-24,8,8,6,6,0,6,0,6,1,7,2,0,75.0,75.0,75.0,85.7,100.0
2025-11-10,7,10,7,5,0,5,0,5,1,6,2,2,71.4,71.4,71.4,83.3,71.4
2025-11-11,10,13,9,6,1,7,0,7,3,7,3,2,60.0,70.0,70.0,100.0,77.8
2025-11-13,7,7,6,6,0,6,0,6,0,7,1,0,85.7,85.7,85.7,85.7,100.0
2025-11-25,9,13,7,4,0,4,0,4,5,4,5,3,44.4,44.4,44.4,100.0,57.1
2025-11-26,8,8,5,5,0,5,0,5,3,5,3,0,62.5,62.5,62.5,100.0,100.0
2025-11-27,8,8,7,7,0,7,0,7,1,7,1,0,87.5,87.5,87.5,100.0,100.0
2025-12-01,9,9,7,7,0,7,0,7,1,8,2,0,77.8,77.8,77.8,87.5,100.0
2025-12-10,10,10,8,8,0,8,0,8,1,9,2,0,80.0,80.0,80.0,88.9,100.0
2026-01-08,9,9,6,6,0,6,0,6,2,7,3,0,66.7,66.7,66.7,85.7,100.0
2026-01-12,8,8,6,6,0,6,0,6,2,6,2,0,75.0,75.0,75.0,100.0,100.0
2026-01-14,8,8,7,7,0,7,0,7,1,7,1,0,87.5,87.5,87.5,100.0,100.0
2026-01-16,10,11,6,5,0,5,0,5,4,6,5,1,50.0,50.0,50.0,83.3,83.3
2026-01-19,8,11,6,5,0,5,0,5,2,6,3,1,62.5,62.5,62.5,83.3,83.3
2026-01-21,7,7,5,5,0,5,0,5,2,5,2,0,71.4,71.4,71.4,100.0,100.0
2026-02-20,8,8,6,6,0,6,0,6,0,8,2,0,75.0,75.0,75.0,75.0,100.0
2026-02-23,8,11,6,5,0,5,0,5,2,6,3,1,62.5,62.5,62.5,83.3,83.3
2026-02-24,7,10,6,6,0,6,0,6,1,6,1,0,85.7,85.7,85.7,100.0,100.0
2026-03-03,9,9,7,7,0,7,0,7,1,8,2,0,77.8,77.8,77.8,87.5,100.0
2026-03-09,10,10,7,7,0,7,0,7,2,8,3,0,70.0,70.0,70.0,87.5,100.0
2026-03-11,9,9,5,5,0,5,0,5,4,5,4,0,55.6,55.6,55.6,100.0,100.0
2026-03-23,7,7,5,5,0,5,0,5,1,6,2,0,71.4,71.4,71.4,83.3,100.0
2026-03-25,8,8,6,6,0,6,0,6,2,6,2,0,75.0,75.0,75.0,100.0,100.0
2026-04-01,10,10,10,10,0,10,0,10,0,10,0,0,100.0,100.0,100.0,100.0,100.0
2026-04-03,8,9,7,6,0,6,0,6,2,6,2,1,75.0,75.0,75.0,100.0,85.7
2026-04-06,9,17,7,5,0,5,0,5,4,5,4,2,55.6,55.6,55.6,100.0,71.4
2026-04-07,11,12,7,7,0,7,0,7,4,7,4,0,63.6,63.6,63.6,100.0,100.0
2026-04-13,9,10,7,6,0,6,0,6,2,7,3,1,66.7,66.7,66.7,85.7,85.7
2026-04-17,8,8,7,7,0,7,0,7,1,7,1,0,87.5,87.5,87.5,100.0,100.0
2026-04-23,8,8,6,6,0,6,0,6,2,6,2,0,75.0,75.0,75.0,100.0,100.0
2026-04-24,9,9,8,8,0,8,0,8,1,8,1,0,88.9,88.9,88.9,100.0,100.0
2026-04-27,9,13,7,5,0,5,0,5,4,5,4,2,55.6,55.6,55.6,100.0,71.4
2026-04-28,7,7,6,6,0,6,0,6,0,7,1,0,85.7,85.7,85.7,85.7,100.0
2026-04-30,7,9,6,4,0,4,0,4,1,6,3,2,57.1,57.1,57.1,66.7,66.7
2026-05-04,11,11,7,7,0,7,0,7,4,7,4,0,63.6,63.6,63.6,100.0,100.0
2026-05-12,8,13,7,6,0,6,0,6,2,6,2,1,75.0,75.0,75.0,100.0,85.7
2026-05-13,8,10,8,7,0,7,0,7,0,8,1,1,87.5,87.5,87.5,87.5,87.5
2026-05-14,8,10,9,7,0,7,0,7,0,8,1,2,87.5,87.5,87.5,87.5,77.8
2026-05-15,8,8,6,6,0,6,0,6,2,6,2,0,75.0,75.0,75.0,100.0,100.0
2026-05-19,9,9,5,5,0,5,0,5,2,7,4,0,55.6,55.6,55.6,71.4,100.0
2026-05-26,9,9,8,8,0,8,0,8,1,8,1,0,88.9,88.9,88.9,100.0,100.0
2026-06-24,9,27,9,4,0,4,2,6,3,6,3,3,44.4,44.4,66.7,100.0,66.7
2026-06-29,8,62,9,3,0,3,1,4,4,4,4,5,37.5,37.5,50.0,100.0,44.4
2026-07-08,8,51,10,5,0,5,0,5,1,7,3,5,62.5,62.5,62.5,71.4,50.0
2026-07-09,7,58,10,4,0,4,1,5,1,6,2,5,57.1,57.1,71.4,83.3,50.0
2026-07-10,9,48,10,5,0,5,0,5,3,6,4,5,55.6,55.6,55.6,83.3,50.0
