날짜,홍보처 원본 기사,서버 후보 기사,AI 선정 기사,URL 일치,제목 일치,정확 일치,동일 주제·대표 매체 차이,총 일치,AI/정책 제외,현 정책 비교 대상,원본 기준 일치 실패,서버만 선정,URL 일치율(%),정확 일치율(%),주제 포함 일치율(%),현 정책 기준 동의율(%),선택 기사 정확도(%)
2025-04-08,9,10,4,2,0,2,0,2,4,5,7,2,22.2,22.2,22.2,40.0,50.0
2025-04-10,9,9,9,9,0,9,0,9,0,9,0,0,100.0,100.0,100.0,100.0,100.0
2025-04-14,10,4,3,2,0,2,0,2,1,9,8,1,20.0,20.0,20.0,22.2,66.7
2025-04-15,8,9,5,3,0,3,0,3,2,6,5,2,37.5,37.5,37.5,50.0,60.0
2025-04-17,9,4,4,4,0,4,0,4,0,9,5,0,44.4,44.4,44.4,44.4,100.0
2025-04-21,11,8,6,6,0,6,0,6,2,9,5,0,54.5,54.5,54.5,66.7,100.0
2025-04-22,8,9,5,3,0,3,1,4,2,6,4,1,37.5,37.5,50.0,66.7,80.0
2025-04-28,9,8,7,7,0,7,0,7,1,8,2,0,77.8,77.8,77.8,87.5,100.0
2025-04-29,7,7,5,5,0,5,0,5,2,5,2,0,71.4,71.4,71.4,100.0,100.0
2025-05-01,4,2,2,2,0,2,0,2,0,4,2,0,50.0,50.0,50.0,50.0,100.0
2025-05-12,10,10,8,8,0,8,0,8,1,9,2,0,80.0,80.0,80.0,88.9,100.0
2025-05-13,9,9,5,5,0,5,0,5,3,6,4,0,55.6,55.6,55.6,83.3,100.0
2025-05-14,9,8,7,5,1,6,0,6,1,8,3,1,55.6,66.7,66.7,75.0,85.7
2025-05-15,6,7,4,3,0,3,0,3,2,4,3,1,50.0,50.0,50.0,75.0,75.0
2025-05-16,5,3,3,3,0,3,0,3,0,5,2,0,60.0,60.0,60.0,60.0,100.0
2025-05-19,8,8,4,3,0,3,0,3,3,5,5,1,37.5,37.5,37.5,60.0,75.0
2025-05-22,7,6,5,5,0,5,0,5,1,6,2,0,71.4,71.4,71.4,83.3,100.0
2025-05-23,7,8,6,5,0,5,0,5,1,6,2,1,71.4,71.4,71.4,83.3,83.3
2025-05-26,7,8,4,1,1,2,0,2,4,3,5,2,14.3,28.6,28.6,66.7,50.0
2025-05-27,8,7,5,5,0,5,0,5,1,7,3,0,62.5,62.5,62.5,71.4,100.0
2025-05-28,6,7,5,5,0,5,0,5,0,6,1,0,83.3,83.3,83.3,83.3,100.0
2025-05-29,7,5,4,4,0,4,0,4,0,7,3,0,57.1,57.1,57.1,57.1,100.0
2025-05-30,8,8,4,3,0,3,0,3,3,5,5,1,37.5,37.5,37.5,60.0,75.0
2025-07-30,5,6,4,3,0,3,0,3,2,3,2,1,60.0,60.0,60.0,100.0,75.0
2025-08-01,7,6,4,4,0,4,0,4,2,5,3,0,57.1,57.1,57.1,80.0,100.0
2025-08-13,8,5,4,4,0,4,0,4,1,7,4,0,50.0,50.0,50.0,57.1,100.0
2025-08-18,7,8,6,6,0,6,0,6,1,6,1,0,85.7,85.7,85.7,100.0,100.0
2025-08-19,7,7,4,4,0,4,0,4,3,4,3,0,57.1,57.1,57.1,100.0,100.0
2025-08-20,8,7,6,6,0,6,0,6,1,7,2,0,75.0,75.0,75.0,85.7,100.0
2025-08-26,6,5,5,5,0,5,0,5,0,6,1,0,83.3,83.3,83.3,83.3,100.0
2025-08-27,5,6,5,5,0,5,0,5,0,5,0,0,100.0,100.0,100.0,100.0,100.0
2025-08-28,8,6,5,5,0,5,0,5,1,7,3,0,62.5,62.5,62.5,71.4,100.0
2025-08-29,13,13,8,8,0,8,0,8,4,9,5,0,61.5,61.5,61.5,88.9,100.0
2025-09-09,8,5,5,4,1,5,0,5,0,8,3,0,50.0,62.5,62.5,62.5,100.0
2025-09-11,8,4,3,3,0,3,0,3,1,7,5,0,37.5,37.5,37.5,42.9,100.0
2025-10-13,6,2,2,2,0,2,0,2,0,6,4,0,33.3,33.3,33.3,33.3,100.0
2025-10-16,9,8,6,6,0,6,0,6,2,7,3,0,66.7,66.7,66.7,85.7,100.0
2025-10-24,8,6,5,5,0,5,0,5,1,7,3,0,62.5,62.5,62.5,71.4,100.0
