날짜,홍보처 원본 기사,서버 후보 기사,AI 선정 기사,URL 일치,제목 일치,정확 일치,동일 주제·대표 매체 차이,총 일치,AI/정책 제외,일반 재수집 후보,날짜 범위 후보 확보,후보 내 비교 대상,원본 기준 일치 실패,서버만 선정,일반 재수집률(%),날짜 범위 후보율(%),URL 일치율(%),정확 일치율(%),주제 포함 일치율(%),후보 내 AI 재현율(%),선택 기사 정확도(%)
2025-04-08,9,10,4,2,0,2,0,2,4,1,6,6,7,2,11.1,66.7,22.2,22.2,22.2,33.3,50.0
2025-04-10,9,9,9,9,0,9,0,9,0,0,9,9,0,0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-04-14,10,4,3,2,0,2,0,2,1,0,3,3,8,1,0.0,30.0,20.0,20.0,20.0,66.7,66.7
2025-04-15,8,9,5,3,0,3,0,3,3,0,6,6,5,2,0.0,75.0,37.5,37.5,37.5,50.0,60.0
2025-04-17,9,4,4,4,0,4,0,4,0,0,4,4,5,0,0.0,44.4,44.4,44.4,44.4,100.0,100.0
2025-04-21,11,8,6,6,0,6,0,6,2,0,8,8,5,0,0.0,72.7,54.5,54.5,54.5,75.0,100.0
2025-04-22,8,9,6,4,0,4,1,5,2,0,7,7,3,1,0.0,87.5,50.0,50.0,62.5,71.4,83.3
2025-04-28,9,8,7,7,0,7,0,7,1,0,8,8,2,0,0.0,88.9,77.8,77.8,77.8,87.5,100.0
2025-04-29,7,7,5,5,0,5,0,5,2,0,7,7,2,0,0.0,100.0,71.4,71.4,71.4,71.4,100.0
2025-05-01,4,2,2,2,0,2,0,2,0,0,2,2,2,0,0.0,50.0,50.0,50.0,50.0,100.0,100.0
2025-05-12,10,10,8,8,0,8,0,8,2,0,10,10,2,0,0.0,100.0,80.0,80.0,80.0,80.0,100.0
2025-05-13,9,9,6,6,0,6,0,6,2,0,8,8,3,0,0.0,88.9,66.7,66.7,66.7,75.0,100.0
2025-05-14,9,8,7,5,1,6,0,6,1,0,7,7,3,1,0.0,77.8,55.6,66.7,66.7,85.7,85.7
2025-05-15,6,7,4,3,0,3,0,3,3,0,6,6,3,1,0.0,100.0,50.0,50.0,50.0,50.0,75.0
2025-05-16,5,3,3,3,0,3,0,3,0,0,3,3,2,0,0.0,60.0,60.0,60.0,60.0,100.0,100.0
2025-05-19,8,8,5,3,0,3,0,3,3,0,6,6,5,2,0.0,75.0,37.5,37.5,37.5,50.0,60.0
2025-05-22,7,6,5,5,0,5,0,5,1,0,6,6,2,0,0.0,85.7,71.4,71.4,71.4,83.3,100.0
2025-05-23,7,8,7,6,0,6,0,6,0,0,6,6,1,1,0.0,85.7,85.7,85.7,85.7,100.0,85.7
2025-05-26,7,8,5,2,1,3,0,3,3,0,6,6,4,2,0.0,85.7,28.6,42.9,42.9,50.0,60.0
