메일 날짜,원본 섹션,원본 순번,원본 기사 제목,원본 언론사,원본 URL,비교 결과,일치 방식,유사도,서버 선정 제목,서버 선정 언론사,서버 선정 URL,차이/제외 이유,일반 재수집 후보 확인,최종 후보 확인,후보 확보 확인
2025-04-08,동국대 [법인/건학위],1,동국대 이사장 돈관 스님 “미래세대 전법 파도 더 널리 확산토록 정진”,법보신문,"https://www.beopbo.com/news/articleView.html?idxno=328363
https://www.ibulgyo.com/news/articleView.html?idxno=424481",일치,URL 일치,1.0,동국대 이사장 돈관 스님 “미래세대 전법 파도 더 널리 확산토록 정진” - 법보신문,법보신문,"https://www.beopbo.com
https://www.beopbo.com/news/articleView.html?idxno=328363",홍보처 원본과 AI 선정 결과가 일치합니다.,예,예,예
2025-04-08,동국대 [법인/건학위],2,동국대학교 박물관 - 부처님을 만나는 법,현대불교신문,https://www.hyunbulnews.com/news/articleView.html?idxno=418487,AI/정책 제외,,,,,,동국대와 직접적인 관련성이 낮음,아니오,예,예
2025-04-08,동국대 [법인/건학위],3,"동국대 김교범 교수팀, 간 질환 치료용 신개념 줄기세포 치료제 개발",베리타스알파,https://www.veritas-a.com/news/articleView.html?idxno=548854,후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-08,동국대 [법인/건학위],4,[김재수 석좌교수 칼럼] 산불 방제 정책의 대전환을 기대하며,이투데이,https://www.etoday.co.kr/news/view/2459624,AI/정책 제외,,,,,,동국대와 직접적인 관련성이 낮음,아니오,예,예
2025-04-08,동국대 [법인/건학위],5,"[황주리 석좌교수 칼럼] 눈인지, 벚꽃인지, 눈물인지",중앙일보,https://www.joongang.co.kr/article/25326811,AI/정책 제외,,,,,,동국대와 직접적인 관련성이 낮음,아니오,예,예
2025-04-08,대학 [교육],1,증원 많았던 지방의대 최저합격점 1.11등급 하락,동아일보,https://www.donga.com/news/Society/article/all/20250406/131359683/2,후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-08,대학 [교육],2,민(民)-관(官)-학(學) 협력으로 고속 성장 중인 중국 인공지능(AI) 산업,KOTRA 해외시장뉴스,https://dream.kotra.or.kr/kotranews/cms/news/actionKotraBoardDetail.do?SITE_NO=3&MENU_ID=180&CONTENTS_NO=1&bbsGbn=243&bbsSn=243&pNttSn=227550,AI/정책 제외,,,,,,동국대와 직접적인 관련성이 낮음,아니오,예,예
2025-04-08,불교 [종단],1,종교 신뢰도 1위는 ‘불교’…청년층서 높아,불교IN,https://www.bulgyo-in.com/news/articleView.html?idxno=941,후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-08,불교 [종단],2,풍성한 불교문화의 달 4월...국제선명상축제·불교박람회 인파 몰려,BBS,https://news.bbsi.co.kr/news/articleView.html?idxno=4024863,일치,URL 일치,1.0,풍성한 불교문화의 달 4월...국제선명상축제·불교박람회 인파 몰려,불교방송,https://news.bbsi.co.kr/news/articleView.html?idxno=4024863,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-10,동국대 [법인/건학위],1,"동국대, 봉축등 점등식 ... 감로비 속 불밝힌 1만6천 연등",BBS,"https://news.bbsi.co.kr/news/articleView.html?idxno=4025445
https://www.hyunbulnews.com/news/articleView.html?idxno=418564",일치,URL 일치,1.0,"동국대, 봉축등 점등식 ... 감로비 속 불밝힌 1만6천 연등",불교방송,https://news.bbsi.co.kr/news/articleView.html?idxno=4025445,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-10,동국대 [법인/건학위],2,"[포토] ""부처님 저 좀 도와주세요"", "" 학점 4.5 기원""...동국대 연등 소원",한국대학신문,https://news.unn.net/news/articleView.html?idxno=577429,일치,URL 일치,1.0,"""부처님 저 좀 도와주세요"", "" 학점 4.5 기원""...동국대 연등 소원",한국대학신문 - 411개 대학을 연결하는 '힘',https://news.unn.net/news/articleView.html?idxno=577429,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-10,동국대 [법인/건학위],3,[포토] ‘연등회 D-17’ 동국대 연등 제작 ‘삼매경’,현대불교신문,"https://www.hyunbulnews.com/news/articleView.html?idxno=418557
https://www.ibulgyo.com/news/articleView.html?idxno=424689",일치,URL 일치,1.0,[포토] ‘연등회 D-17’ 동국대 연등 제작 ‘삼매경’ - 현대불교,현대불교,https://www.hyunbulnews.com/news/articleView.html?idxno=418557,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-10,동국대 [법인/건학위],4,"동국대, 4개 대학과 인문사회 융합인재양성사업 컨소시엄 업무협약 체결",뉴시스,https://www.newsis.com/view/NISX20250409_0003132936,일치,URL 일치,1.0,"동국대, 4개 대학과 인문사회 융합인재양성사업 컨소시엄 업무협약 체결",뉴시스,https://www.newsis.com/view/NISX20250409_0003132936,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-10,동국대 [법인/건학위],5,"동국대 건학위, '불교사전' 29일 봉정식 열어",BBS,https://news.bbsi.co.kr/news/articleView.html?idxno=4025353,일치,URL 일치,1.0,"동국대 건학위, '불교사전' 29일 봉정식 열어",불교방송,https://news.bbsi.co.kr/news/articleView.html?idxno=4025353,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-10,대학 [교육],1,내년 의대 모집인원 확정 3주 앞인데…정부·의료계 평행선,이데일리,https://www.edaily.co.kr/News/Read?newsId=03365286642134480&mediaCodeNo=257&OutLnkChk=Y,일치,URL 일치,1.0,내년 의대 모집인원 확정 3주 앞인데…정부·의료계 평행선,이데일리,https://www.edaily.co.kr/News/Read?newsId=03365286642134480&mediaCodeNo=257&OutLnkChk=Y,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-10,대학 [교육],2,"대교협 ""대학평가인증 결과와 국가장학금 연계 폐지해야""",뉴스1,https://www.news1.kr/society/education/5747599,일치,URL 일치,1.0,"대교협 ""대학평가인증 결과와 국가장학금 연계 폐지해야""",뉴스1,https://www.news1.kr/society/education/5747599,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-10,불교 [종단],1,제78차 원로회의…신임 원로의원 보광대종사 선출,불교신문,https://slv.ibulgyo.com/news/articleView.html?idxno=424675,일치,URL 일치,1.0,제78차 원로회의…신임 원로의원 보광대종사 선출 - 불교신문,불교신문,https://slv.ibulgyo.com/news/articleView.html?idxno=424675,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-10,불교 [종단],2,"장원영도, 제니도 푹 빠졌다...“젊은 사람들은 요새 다 이거 봐요”",매일경제,https://www.mk.co.kr/news/culture/11286942,일치,URL 일치,1.0,"장원영도, 제니도 푹 빠졌다...“젊은 사람들은 요새 다 이거 봐요” - 매일경제",매일경제,https://www.mk.co.kr/news/culture/11286942,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-14,동국대 [법인/건학위],1,"동국대, 4·19혁명 기념 등산대회 개최",뉴시스,"https://www.newsis.com/view/NISX20250411_0003135881
https://news.unn.net/news/articleView.html?idxno=577543",일치,URL 일치,1.0,"동국대, 4·19혁명 기념 등산대회 개최",뉴시스,https://www.newsis.com/view/NISX20250411_0003135881,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-14,동국대 [법인/건학위],2,"송석환 동진기업 회장, 동국대 발전기금 1억원 기부",불교신문,"https://www.ibulgyo.com/news/articleView.html?idxno=424744
https://www.asiatoday.co.kr/kn/view.php?key=20250410010006328",후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-14,동국대 [법인/건학위],3,동국대 불교동아리 활동 ‘연착륙’…신행·문화탐방·연합법회 활발,법보신문,https://www.beopbo.com/news/articleView.html?idxno=328440,후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-14,동국대 [법인/건학위],4,"동국대 ""ESG경영은 선택 아닌 필수""...올해 중점사업 논의",BBS,https://news.bbsi.co.kr/news/articleView.html?idxno=4025651,후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-14,동국대 [법인/건학위],5,"동국대학교, HUSS 컨소시엄 업무협약 체결",내일신문,"https://www.naeil.com/news/read/544570?ref=naver
https://www.segye.com/newsView/20250411515278?OutUrl=naver",일치,URL 일치,1.0,"동국대학교, HUSS 컨소시엄 업무협약 체결",내일신문,https://www.naeil.com/news/read/544570?ref=naver,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-14,동국대 [법인/건학위],6,[동문소식 – 이근안(경찰행정 94)] 이근안 신임 포항해양경찰서장 취임...“현장 중심 해양치안 실현”,아이뉴스24,https://www.inews24.com/view/1833711,AI/정책 제외,,,,,,동국대학교와 직접적인 관련이 없는 외부 인사 소식으로 홍보 대상에서 제외,아니오,예,예
2025-04-14,대학 [교육],1,의대 정원 '5058 or 3058' 결정의 시간 임박…분주한 정부·의료계,뉴시스,https://www.newsis.com/view/NISX20250413_0003136994,후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-14,대학 [교육],2,고특회계 성과와 과제는…제3차 고등교육재정혁신 토론회 개최,연합뉴스,https://www.yna.co.kr/view/AKR20250410059600530?input=1195m,후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-14,불교 [종단],1,"대형 산불, 사찰림이 위험하다",현대불교신문,https://www.hyunbulnews.com/news/articleView.html?idxno=418628,후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-14,불교 [종단],2,"조계종, 3원통합 기념 ‘신도증 무료재발급’ 이벤트",불교IN,https://www.bulgyo-in.com/news/articleView.html?idxno=963,후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-15,동국대 [법인/건학위],1,"재단법인 법보선원, 동국대에 장학기금 10억원 기부",불교신문,"https://slv.ibulgyo.com/news/articleView.html?idxno=424826
https://www.hyunbulnews.com/news/articleView.html?idxno=418653",일치,URL 일치,1.0,"재단법인 법보선원, 동국대에 장학기금 10억원 기부 - 불교신문",불교신문,https://slv.ibulgyo.com/news/articleView.html?idxno=424826,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-15,동국대 [법인/건학위],2,"영광 원각사, 동국대 불교대학 동아리 '가람수호'에 장학금 전달",BBS,"https://news.bbsi.co.kr/news/articleView.html?idxno=4025548
https://www.beopbo.com/news/articleView.html?idxno=328487",후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-15,동국대 [법인/건학위],3,‘젊은 불자’ 양성 나선 동국대...불교동아리 어느새 25개,아시아투데이,"https://www.asiatoday.co.kr/kn/view.php?key=20250414010008303
https://www.beopbo.com/news/articleView.html?idxno=328429",일치,URL 일치,1.0,‘젊은 불자’ 양성 나선 동국대...불교동아리 어느새 25개,아시아투데이,https://www.asiatoday.co.kr/kn/view.php?key=20250414010008303,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-15,동국대 [법인/건학위],4,[동문소식 – 박영진(회계 91)] ‘NPL비율 평균 상회’ 국민은행 윤준태·박영진 행보 주목,FETV,https://www.fetv.co.kr/news/article.html?no=190368,AI/정책 제외,,,,,,섹션 자격 필터를 통과하지 못해 메일 포함에서 제외되었습니다.,아니오,예,예
2025-04-15,동국대 [법인/건학위],5,“시대를 위로하는 판화 속 부처” 동국대 미술학부 사제들이 뭉친 사연은?,BBS,https://news.bbsi.co.kr/news/articleView.html?idxno=4025856,후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-15,대학 [교육],1,의대생들 ‘유급불사’ 강경 투쟁… ‘트리플링’ 현실되나,문화일보,https://www.munhwa.com/article/11498787?ref=naver,AI/정책 제외,,,,,,대표 기사(5581)와 같은 주제를 다룬 중복 보도,아니오,예,예
