메일 날짜,서버 선정 제목,언론사,상위 분류,하위 분류,우선순위,선정 이유,URL
2025-04-08,[인터뷰] 현정환 동국대 교수 “티메프·발란 사태 재발 막으려면 이커머스도 은행처럼 규제해야” - 조선비즈 - Chosunbiz,Chosunbiz,dongguk_core,dongguk_general,,,https://biz.chosun.com
2025-04-08,"'동국대 출신' 박하선, 대학가 '뚱군기' 문화 악순환에... ""아직도 저런...",인사이트,dongguk_core,dongguk_relation_candidate,,,https://www.insight.co.kr/news/498052
2025-04-14,"""시대를 위로하는 판화 속 부처""...동국대 미술학부 사제들이 뭉친 사연은 ?",불교방송,dongguk_core,기타,,,https://news.bbsi.co.kr/news/articleView.html?idxno=4025856
2025-04-15,의대 정원 '5058 or 3058' 결정의 시간 임박…분주한 정부·의료계,뉴시스,education,기타,,,https://www.newsis.com/view/NISX20250413_0003136994
2025-04-15,"대형 산불, 사찰림이 위험하다 - 현대불교",현대불교,buddhism,기타,,,https://www.hyunbulnews.com/news/articleView.html?idxno=418628
2025-04-22,"“듣고, 사유하고, 변화하라”… 경청·섬김 실천한 ‘여성불자들의 길잡이’[Leadership]",문화일보,buddhism,기타,,,https://www.munhwa.com/article/11500274?ref=naver
2025-05-14,"동국대 여자총동창회, 모교에 장학기금 1천만원 기부",뉴시스,dongguk_core,기타,,,https://www.newsis.com/view/NISX20250512_0003172507
2025-05-15,﻿동국대-남양주시 MOU 체결,베리타스알파,dongguk_core,기타,,,https://www.veritas-a.com/news/articleView.html?idxno=553466
2025-05-19,"동국대 김성준 연구팀, 3D 수직 적층형 다기능 메모리 소자 개발",베리타스알파,dongguk_core,기타,,,https://www.veritas-a.com/news/articleView.html?idxno=553866
2025-05-19,[48회이상백배] ‘첫 태극마크’ 대표팀 뒷선 책임질 김명진 “농구인생에 있어 큰 경험될 거라 생각해”,점프볼,dongguk_core,기타,,,https://jumpball.co.kr/news/newsview.php?ncode=1065571981631871&_ref=naver
2025-05-23,"동국대, 현진 스님 초청법회…불교청년지도자장학생 등 대상 - 현대불교",현대불교,dongguk_core,기타,,,https://www.hyunbulnews.com/news/articleView.html?idxno=419311
2025-05-26,"﻿동국대 명예교수 오원배 작가, '제10회 박수근미술상' 수상",베리타스알파,dongguk_core,기타,,,https://www.veritas-a.com/news/articleView.html?idxno=555028
