mail_date,section_label,number,title,source,is_syndicated,urls,document
2025-04-08,동국대 [법인/건학위],1,동국대 이사장 돈관 스님 “미래세대 전법 파도 더 널리 확산토록 정진”,법보신문,True,"https://www.beopbo.com/news/articleView.html?idxno=328363
https://www.ibulgyo.com/news/articleView.html?idxno=424481",artifacts/hongbo_original_comparison/originals/오늘의주요뉴스/오늘의 주요 뉴스(250408).hwp
2025-04-08,동국대 [법인/건학위],2,동국대학교 박물관 - 부처님을 만나는 법,현대불교신문,False,https://www.hyunbulnews.com/news/articleView.html?idxno=418487,artifacts/hongbo_original_comparison/originals/오늘의주요뉴스/오늘의 주요 뉴스(250408).hwp
2025-04-08,동국대 [법인/건학위],3,"동국대 김교범 교수팀, 간 질환 치료용 신개념 줄기세포 치료제 개발",베리타스알파,False,https://www.veritas-a.com/news/articleView.html?idxno=548854,artifacts/hongbo_original_comparison/originals/오늘의주요뉴스/오늘의 주요 뉴스(250408).hwp
2025-04-08,동국대 [법인/건학위],4,[김재수 석좌교수 칼럼] 산불 방제 정책의 대전환을 기대하며,이투데이,False,https://www.etoday.co.kr/news/view/2459624,artifacts/hongbo_original_comparison/originals/오늘의주요뉴스/오늘의 주요 뉴스(250408).hwp
2025-04-08,동국대 [법인/건학위],5,"[황주리 석좌교수 칼럼] 눈인지, 벚꽃인지, 눈물인지",중앙일보,False,https://www.joongang.co.kr/article/25326811,artifacts/hongbo_original_comparison/originals/오늘의주요뉴스/오늘의 주요 뉴스(250408).hwp
2025-04-08,대학 [교육],1,증원 많았던 지방의대 최저합격점 1.11등급 하락,동아일보,False,https://www.donga.com/news/Society/article/all/20250406/131359683/2,artifacts/hongbo_original_comparison/originals/오늘의주요뉴스/오늘의 주요 뉴스(250408).hwp
2025-04-08,대학 [교육],2,민(民)-관(官)-학(學) 협력으로 고속 성장 중인 중국 인공지능(AI) 산업,KOTRA 해외시장뉴스,False,https://dream.kotra.or.kr/kotranews/cms/news/actionKotraBoardDetail.do?SITE_NO=3&MENU_ID=180&CONTENTS_NO=1&bbsGbn=243&bbsSn=243&pNttSn=227550,artifacts/hongbo_original_comparison/originals/오늘의주요뉴스/오늘의 주요 뉴스(250408).hwp
2025-04-08,불교 [종단],1,종교 신뢰도 1위는 ‘불교’…청년층서 높아,불교IN,False,https://www.bulgyo-in.com/news/articleView.html?idxno=941,artifacts/hongbo_original_comparison/originals/오늘의주요뉴스/오늘의 주요 뉴스(250408).hwp
2025-04-08,불교 [종단],2,풍성한 불교문화의 달 4월...국제선명상축제·불교박람회 인파 몰려,BBS,False,https://news.bbsi.co.kr/news/articleView.html?idxno=4024863,artifacts/hongbo_original_comparison/originals/오늘의주요뉴스/오늘의 주요 뉴스(250408).hwp
2025-04-10,동국대 [법인/건학위],1,"동국대, 봉축등 점등식 ... 감로비 속 불밝힌 1만6천 연등",BBS,True,"https://news.bbsi.co.kr/news/articleView.html?idxno=4025445
https://www.hyunbulnews.com/news/articleView.html?idxno=418564",artifacts/hongbo_original_comparison/originals/오늘의주요뉴스/오늘의 주요 뉴스(250410).hwp
