기준일	포함여부	순번	섹션	언론사	제목	발행일시	URL	수집풀
2026-07-13	메일 포함	1	동국대 [법인/건학위]	동국대학교	동국대학교기술지주, 교육부 모태펀드 출자사업 공동운용사 선정	2026-07-12 15:00:00+00:00	https://www.dongguk.edu/article/SCHOOLNEWS/detail/26765405	dongguk_core
2026-07-13	메일 포함	2	동국대 [법인/건학위]	동국대학교	동국대, ‘2026년 하안거 30일 수행’ 프로그램 입재식 봉행	2026-07-12 15:00:00+00:00	https://www.dongguk.edu/article/SCHOOLEVENTS/detail/26765401	dongguk_core
2026-07-13	메일 포함	3	불교 [종단]	불교방송	진관스님 10주기 다례재..."희망·위로 전하는 도량으로"	2026-07-12 06:12:36+00:00	https://news.bbsi.co.kr/news/articleView.html?idxno=4094548	buddhism
2026-07-13	메일 포함	4	대학 [교육]	뉴스1	'20.79%' 유지 vs 범위 vs 산식 손질…교육교부금 개편 시나리오 셋	2026-07-12 21:00:00+00:00	https://www.news1.kr/society/education/6225485	education
2026-07-13	메일 포함	5	대학 [교육]	한국경제	메가프로젝트에 거점대 희비…전남 기대감, 대구경북 위기감	2026-07-12 07:59:38+00:00	https://www.hankyung.com/article/2026071201211	education
2026-07-13	메일 포함	6	불교 [종단]	NGO Press | 엔지오프레스	올여름 부산을 찾는 또 하나의 이유, 2026부산국제불교박람회 개최 - 엔지오프레스	2026-07-12 02:25:00+00:00	https://www.ngopress.kr/news/articleView.html?idxno=17998	buddhism
2026-07-13	메일 제외	7	동국대 [법인/건학위]	서울경제	공공기관 연료전지 설치 근거 사라져…中企 ‘발주 절벽’ 공포	2026-07-12 09:11:53+00:00	https://www.sedaily.com/article/20066743?ref=naver	dongguk_core
2026-07-13	메일 제외	8	동국대 [법인/건학위]	서울신문	[단독] ‘음의 복리’ 레버리지, 코스피 뒤흔들다… 거래 90%는 손실[레...	2026-07-12 14:38:25+00:00	https://www.seoul.co.kr/news/economy/securities/2026/07/13/20260713002002?wlog_tag3=naver	dongguk_core
2026-07-13	메일 제외	9	동국대 [법인/건학위]	서울경제	“이달 금리인상 확실…하반기 한차례 더 올릴 듯”	2026-07-12 08:52:35+00:00	https://www.sedaily.com/article/20066720?ref=naver	dongguk_core
2026-07-13	메일 제외	10	동국대 [법인/건학위]	메디컬투데이	"초기 고혈압 치료 새 옵션"…한미약품 '아모프렐', ESH 2026서 주목	2026-07-12 05:42:13+00:00	https://www.mdtoday.co.kr/news/articleView.html?idxno=604563	dongguk_core
2026-07-13	메일 제외	11	동국대 [법인/건학위]	서울신문	장윤기 수사 ‘윗선 개입’ 정조준…경찰, 지휘라인 첫 압수수색	2026-07-12 08:39:39+00:00	https://www.seoul.co.kr/news/society/accident/2026/07/12/20260712500083?wlog_tag3=naver	dongguk_core
2026-07-13	메일 제외	12	동국대 [법인/건학위]	비욘드포스트	한보총 백은미 회장 “안전보건관리자, 명목상 선임 벗어나 실질적 역할...	2026-07-12 13:52:00+00:00	http://www.beyondpost.co.kr/view.php?ud=202607122223304474be44c0aacd_30	dongguk_core
2026-07-13	메일 제외	13	동국대 [법인/건학위]	일요서울i	[황태연 교수의 특별한 시선] 생각하자, 반도체의 기술주권!	2026-07-12 06:27:31+00:00	https://www.ilyoseoul.co.kr/news/articleView.html?idxno=519724	dongguk_core
2026-07-13	메일 제외	14	대학 [교육]	Unknown	대교협, 2027학년도 수시박람회 개최	2026-07-12 23:10:00+00:00	https://www.hangyo.com/news/article.html?no=108430	education
2026-07-13	메일 제외	15	동국대 [법인/건학위]	에너지경제신문	[패트롤]경주시-영천시-달서구-청도군-대구교육청	2026-07-12 06:38:01+00:00	https://www.ekn.kr/web/view.php?key=20260712024301607	dongguk_core
2026-07-13	메일 제외	16	동국대 [법인/건학위]	뉴시스	영천서 15일까지 '세팍타크로 전국대회'…청소년 국대 선발전도	2026-07-12 04:05:49+00:00	https://www.newsis.com/view/NISX20260712_0003705670	dongguk_core
2026-07-13	메일 제외	17	동국대 [법인/건학위]	경향신문	‘보완수사권 국면’ 위기감 커지는 경찰…‘장윤기 사건’ 유독 뼈아픈...	2026-07-12 08:55:00+00:00	https://www.khan.co.kr/article/202607121755001	dongguk_core
2026-07-13	메일 제외	18	불교 [종단]	대경일보	'영주 부석사의 큰 별' 근일 대종사 원적… 법랍 66년 수행의 길 멈추다	2026-07-12 05:24:10+00:00	https://www.dkilbo.com/news/articleView.html?idxno=548360	buddhism
2026-07-13	메일 제외	19	불교 [종단]	불교신문	한국전쟁 폐허에 '진관사 중창'한 무위당 진관선사 공덕 '찬탄'	2026-07-12 07:39:34+00:00	http://www.ibulgyo.com/news/articleView.html?idxno=440074	buddhism
2026-07-13	메일 제외	20	동국대 [법인/건학위]	국제뉴스	영천시, 세팍타크로대회로 지역경제·스포츠도시 이미지 기대	2026-07-12 13:07:39+00:00	https://www.gukjenews.com/news/articleView.html?idxno=3633620	dongguk_core
2026-07-13	메일 제외	21	동국대 [법인/건학위]	국제뉴스	경주 미래 해법 담았다…경주발전協, '경주 비전과 정책' 제35호 발간	2026-07-12 14:34:48+00:00	https://www.gukjenews.com/news/articleView.html?idxno=3632068	dongguk_core
